model_name	all_1	num_all_1	pass_itself_1	num_itself_1	pass_intersection_1	num_intersection_1	all_2	num_all_2	pass_itself_2	num_itself_2	pass_intersection_2	num_intersection_2	all_3	num_all_3	pass_itself_3	num_itself_3	pass_intersection_3	num_intersection_3	all_4	num_all_4	pass_itself_4	num_itself_4	pass_intersection_4	num_intersection_4
BERT_base	0.8299632352941176	2176	0.8925708177445216	1871	0.9680851063829787	94	0.23115808823529413	2176	0.16729021913415287	1871	0.0851063829787234	94	0.5579044117647058	2176	0.5654730090860502	1871	0.5851063829787234	94	0.43014705882352944	2176	0.4233030464991983	1871	0.3723404255319149	94
BERT_large	0.8975183823529411	2176	0.8975183823529411	2176	0.9893617021276596	94	0.18382352941176472	2176	0.18382352941176472	2176	0.09574468085106383	94	0.5689338235294118	2176	0.5689338235294118	2176	0.574468085106383	94	0.44669117647058826	2176	0.44669117647058826	2176	0.40425531914893614	94
RoBERTa_small	0.46139705882352944	2176	0.9086294416243654	985	0.9893617021276596	94	0.24724264705882354	2176	0.11573604060913706	985	0.06382978723404255	94	0.36443014705882354	2176	0.3715736040609137	985	0.3829787234042553	94	0.28722426470588236	2176	0.3065989847715736	985	0.2765957446808511	94
RoBERTa_large	0.46920955882352944	2176	0.9517102615694165	994	0.9893617021276596	94	0.24908088235294118	2176	0.09758551307847083	994	0.05319148936170213	94	0.3713235294117647	2176	0.3822937625754527	994	0.39361702127659576	94	0.2890625	2176	0.3148893360160966	994	0.26595744680851063	94
DistilRoBERTa	0.45358455882352944	2176	0.9367088607594937	948	0.9893617021276596	94	0.23988970588235295	2176	0.08860759493670886	948	0.0425531914893617	94	0.3681066176470588	2176	0.38396624472573837	948	0.40425531914893614	94	0.2757352941176471	2176	0.29324894514767935	948	0.24468085106382978	94
DistilBERT	0.8579963235294118	2176	0.9229144667370645	1894	1.0	94	0.19439338235294118	2176	0.12565997888067582	1894	0.07446808510638298	94	0.5514705882352942	2176	0.5549102428722281	1894	0.5851063829787234	94	0.4375	2176	0.43400211193241817	1894	0.4148936170212766	94
SqueezeBERT	0.8552389705882353	2176	0.9210093252879868	1823	0.9680851063829787	94	0.2113970588235294	2176	0.13603949533735601	1823	0.11702127659574468	94	0.5505514705882353	2176	0.5589687328579265	1823	0.5851063829787234	94	0.43014705882352944	2176	0.4190894130554032	1823	0.39361702127659576	94
MobileBERT	0.8272058823529411	2176	0.8976293103448276	1856	0.9893617021276596	94	0.22977941176470587	2176	0.15625	1856	0.05319148936170213	94	0.5422794117647058	2176	0.5581896551724138	1856	0.5531914893617021	94	0.4485294117647059	2176	0.4391163793103448	1856	0.4148936170212766	94
Longformer_base	0.4811580882352941	2176	0.8870056497175142	1062	0.9787234042553191	94	0.22564338235294118	2176	0.14218455743879474	1062	0.031914893617021274	94	0.35983455882352944	2176	0.3653483992467043	1062	0.425531914893617	94	0.28860294117647056	2176	0.3069679849340866	1062	0.24468085106382978	94
Longformer_large	0.47931985294117646	2176	0.9457593688362919	1014	0.9893617021276596	94	0.22150735294117646	2176	0.07199211045364892	1014	0.05319148936170213	94	0.3704044117647059	2176	0.3796844181459566	1014	0.425531914893617	94	0.2867647058823529	2176	0.3116370808678501	1014	0.2765957446808511	94
ALBERT_base	0.4103860294117647	2176	0.8525943396226415	848	0.9574468085106383	94	0.265625	2176	0.1733490566037736	848	0.10638297872340426	94	0.28630514705882354	2176	0.2841981132075472	848	0.3404255319148936	94	0.27297794117647056	2176	0.28773584905660377	848	0.24468085106382978	94
ALBERT_large	0.3795955882352941	2176	0.8026315789473685	684	0.925531914893617	94	0.3134191176470588	2176	0.22660818713450293	684	0.1276595744680851	94	0.2835477941176471	2176	0.2850877192982456	684	0.35106382978723405	94	0.2775735294117647	2176	0.27485380116959063	684	0.24468085106382978	94
ALBERT_xlarge	0.3704044117647059	2176	0.8018018018018018	777	0.9148936170212766	94	0.33731617647058826	2176	0.25611325611325614	777	0.1595744680851064	94	0.3000919117647059	2176	0.2908622908622909	777	0.3404255319148936	94	0.2757352941176471	2176	0.31145431145431146	777	0.26595744680851063	94
ALBERT_xxlarge	0.4333639705882353	2176	0.9030239833159541	959	0.9680851063829787	94	0.24540441176470587	2176	0.11783107403545359	959	0.0425531914893617	94	0.2959558823529412	2176	0.2867570385818561	959	0.3404255319148936	94	0.2688419117647059	2176	0.291970802919708	959	0.20212765957446807	94
