MultipleChoice	pass_experiment_one_multiplechoice	pass_experiment_two_multiplechoice	pass_experiment_three_prime_multiplechoice	pass_experiment_four_prime_multiplechoice
ALBERT	0.35542168674698793	0.5502008032128514	0.41365461847389556	0.41967871485943775
BERT	0.3313253012048193	0.05823293172690763	0.8313253012048193	0.7228915662650602
DistilBERT	0.5261044176706827	0.3032128514056225	0.8514056224899599	0.8253012048192772
ELECTRA	0.4357429718875502	0.3413654618473896	0.7550200803212851	0.7289156626506024
FunnelTransformer	0.3514056224899598	0.6385542168674698	0.5160642570281124	0.6365461847389559
Longformer	0.3473895582329317	0.785140562248996	0.1566265060240964	0.14859437751004015
MobileBERT	0.7309236947791165	0.21485943775100402	0.7710843373493976	0.7530120481927711
RoBERTa	0.9216867469879518	0.8875502008032129	0.16265060240963855	0.1646586345381526
SqueezeBERT	0.3795180722891566	0.27309236947791166	0.8694779116465864	0.9076305220883534
XLMRoBERTa	0.07429718875502007	0.9096385542168675	0.08433734939759036	0.10240963855421686
